0,0,0,0,0,0,0,0x8BA8107B55EFDA0,0
1,0x22FD95F7947D5F0B,0x262FD309BCCFDA10,5,0x65C83C5E46C88196,0x6E9F9D0D3AE59765,0x200B9EAA7DF992A8,0x42C4C610AE16BD73,0
2,0x6EE8367B64E98517,0x5693C6F671DEF4C,5,0x185C3C78EBC24268,0x6735E4EB7D54B9F4,0x529CB0A2C0619C09,0x44655B9F24B38F68,0
3,0x5AB6EB846B0EC72,0x73B96085D124132B,5,0x6F4A03C7DF254B96,0x19868ED34C58DAE,0x1030D5AAC01A491E,0x396F347B1D4C7DB7,0
4,0x4C55F8D6A6A4FFFB,0x3419C0DEC0B3A3AE,5,0x1AA963D190A41652,0x496927D497FDF692,0x6189A4D9159C681F,0x723BD70B9A80A581,0
5,0x547835B29FEF2731,0x744CFB4E9F67EBD0,5,0x3A8433BE848D44C5,0x63B656007F0362C4,0x4DD8BA4E6FEEF49,0x51450DCBFE052908,0
6,0x276EED63CDED8360,0x546441DF281AC9D9,5,0x3CBE820401E3D5C6,0x4DCF9DFECDF28746,0x4CB341530C521448,0x4BF0F3E0BC9B7391,0
7,0x77B256C1EF780693,0x5724168BC8AD04B0,5,0x1CD9A591D101DCA,0x691A382CFA94A2E7,0x5BDB4DAD0048AEAD,0x34001D400C0AA7BB,0
8,0x9A5021133F353DE,0xBD3517DCB6EC147,5,0x315AFD945B989705,0x15FB183DC7FD005F,0x5D209F828D9BBD96,0xFAC49B9C9FCDB8D,0
9,0x9BC38B73546C342,0x3B27D8AE063801C5,5,0x62A87FC76F3ECA12,0x41FBDC6F4AA1A875,0x522DFB6DA6F47203,0x9A724D151675675,0
10,0x18EF42132B7123DA,0x542B7273F910D951,5,0x436FFFDD733392BA,0x33A592EF2526F0A2,0x2CCEB05C88366B28,0x3704DAB636D3E04E,0
11,0x386EDD2C6AE75DE7,0x3F781228935539A6,5,0x64D78A0E86BA8B55,0x7F05B25034AE349F,0x3D7D26FA33BA6F97,0x47C20B0AA74CA0C,0
12,0x35DA6D003B217B86,0x273DB18BFD880E8F,5,0x76C2A7D61ABD306D,0x3EF216FF42894960,0x1519552F0DB891C2,0x55BECB3A18F3C612,0
13,0x2BC408C6B175C467,0x1853FD1D34500375,5,0x760F298458773E70,0x172B3BC29A9FABDE,0x4CF0323C7ECB3711,0x3704DBB636D3E201,0
14,0x6D3651CE24E92790,0x4F881782B54BB33C,5,0x1D73823F33CB13FF,0x50CE2207B80F9FA5,0x1D965783AE1B802,0x3C511176CB6B5853,0
15,0x34D711B1DB9B2F05,0x24F5D17B641B7942,5,0x94D913BABCD584,0x79914DA435788FE4,0x345A3AA1489F6839,0x6E9E59A789EC1E80,0
16,0x3A0EFCAB29C01F8A,0x30749E829E88341C,5,0x26E871C3FEC523D3,0x3DD233C2A2CB7EEC,0x19B522874D71D0C2,0x16B2C41D0CCB0961,0
17,0x4C2F1D6039BB8835,0x613416E03318E721,5,0x534A88A25D5F0737,0x5DF87CE6DD360ABF,0x4DE1FFD2115BD019,0x24F356ECF6FB6C0E,0
18,0x35825FCA0882B3A2,0x3960BF9A9BA03468,5,0x46FAF6240C2FE71A,0x32A02036B210E14D,0x31D5721EE9793424,0x21792D157FABD319,0
19,0xA62A60376376E2A,0x404D7053348E24B5,5,0x4DA14F9B7EBE092D,0x7D6A0749D37A5428,0xAD0D6648C240285,0x48F5753F9361F31,0
20,0x45B74E2F2F7F5687,0x8E5D1004C659941,5,0x300C58880C01BF58,0x4F45CA1828646934,0x1FC3943ADB73363F,0x40C77418F9182719,0
21,0x4E6443EF03FE1C20,0x72DB3EDB8F50CAEA,5,0x26F3858AC994B858,0x5F8A23BBF07A8769,0x37E5B09FC86A64E7,0x74B19794B9A484D9,0
22,0x1CC3DD0BEC01B0CD,0xFCD2A6E6B84CFD2,5,0x4C52EB020EA39538,0x437000DD7333946D,0x191B00B02F6C4144,0x49B83486E6F9BC38,0
23,0x357E072104F95513,0x27CC719A91980A95,5,0x3C5A82D06549ABCC,0x36DFB920467C2F92,0x7D65F6CC85A27569,0x1E44AC63EBDE7A17,0
24,0x4AD158BCC7833CBD,0x1853FA1D344FFE5C,5,0x43A02E8EDA81D313,0x18C0785801027269,0x47D74E5C1E3B9691,0x1A31E9546B33C22D,0
25,0x6A59F5B425610FA6,0x3D6C33321B14C4E6,5,0x51035CE3C359156,0x1CA13A22C5B59987,0x65AE5DABB9C13A06,0x54E3F535B083802E,0
26,0x2DC8DF5EA84BD921,0x2816C22D469827C9,5,0x315EB81146EC9089,0x1464EB72733FE9F8,0x690DEA6B04058192,0x1CF4BE42778C8B60,0
27,0x75ED539B95149096,0x5F00B240CAB8D7BE,5,0x58CE82019E4DFD1C,0x38BC3CF519198F90,0x68179BBA77F0A8AA,0x9CB2805C8C9D8FB,0
28,0x3B10C0DEBC62559,0x415CA9A71F40C1A1,5,0x1BC5843853724FA9,0x3D11F2E0B14E9CAC,0x1A2391C6FF1CC84,0x6B344091A61EA57A,0
29,0x4E248C18E64A1585,0x2B489B1CC87345D,5,0x4D1DFCD775E80C6D,0x492F50CEEA7D2D5C,0x73653F3482EED5A1,0x447F0767A3441EA1,0
30,0x6031FA18F0B81EF4,0x14C2B7B1D6F6840C,5,0x6D6935026EDE6415,0x4A20FF7CCEFF217C,0x14821486655DA5EC,0x607598D00D891BD0,0
31,0x59BA657C001FA0C7,0x1D28029EA820583F,5,0x258A142C083B632F,0x661621BDCF8B9CF3,0x62C4816F8E75E33,0x26AB65B8FBFEAB28,0
32,0x7A3312FB07B7D92F,0x5F7AE0B26BF83257,5,0x13789554A310AA8F,0x39D29F9C4FE7E54E,0x382CA9FC9D4AF1EE,0x266899C5F3B4E93F,0
33,0x46FF2C2738AA1973,0x7ED5089911C246CB,5,0x2B2887DADDEB75A7,0x414C5885507E9AA6,0x16E0EFAB9E84E9D2,0x1FAD18FFD7086C2A,0
34,0x564CA73154842120,0x2FCB9EF5F065C58,5,0x1A83F392AFF69FC3,0x1F8DDE89D75659AB,0x3B463A7A4B6FB7D7,0x3ECD1137E44E6325,0
