0,0,0,0,0,0,0,0x8BA8107B55EFDA0,0
1,0x5C6DD9712B3ABCCD,0x578B9C48D6D02430,6,0x359F26F3FE7B3E34,0x15E38FF835419F29,0x3A4CC9109FA72702,0x6A3B487C924D7081,0
2,0x2A6EEAFCC2E849EA,0x50EA2597362BD78F,6,0x1DBFC19533279BD1,0x48E4F004511EEE67,0x195BC77F835411CA,0x78B5865817A3C321,0
3,0xC044191B9309B27,0xFF49419588C1D9B,6,0xC564D52A7C51AD4,0x3822203FC7C2EADF,0x3B13DC0E3C4BB2A2,0x6B9B36FEDFB95F3C,0
4,0x69EE72F1FD9C48FB,0x48DA1858E5BD897B,6,0x1ABA6FB35597BD85,0x59D8674357C2B6DE,0x5E89396E6F618C5A,0x2D868C0EDA640CC6,0
5,0x2CCD3EEB8B90E7B6,0x7427E9E1CB6981B4,6,0x70A2E253D4EAFA89,0x453743F534BCB9DB,0x63E05ACFB272A296,0x4C0D9457AEF9AED2,0
6,0x59825851D10DE0F3,0x30B404470F34642D,6,0x2F835612B65F4272,0xE822C99F16C5E3A,0x6A861F1323CE4AE9,0xE9B414F0E35B790,0
7,0x4BE55E7B7ADD1A8C,0x3AC5ED0AFC91B642,6,0x2DD97472BFDC1750,0x4DE87F4AC352D31C,0x70F048948F3FB670,0x793CB36230ECE12,0
8,0x3FC14CA36DCC800,0x78383EA4BB41A12,6,0x2291CC79D49E6296,0x71FB6D66E0007D1D,0x7571A5AEBC58C0DF,0x3C1A94BB292D8E96,0
9,0x18901540A8B6F835,0x20093E745EC3D213,6,0x5D5CAC785E5018AA,0x4BCD9E9BAF9FEF9D,0x2AB68853897A8D0C,0x184D672DC3614F1F,0
10,0x7E2428A344167618,0xB33E6778811A07A,6,0x398FDC7794697D06,0x59685457EC89F211,0x20EF0C16D41D9CD2,0x38A132FF33294724,0
11,0x4401B0E81AE896F4,0x646C9F8E0BB32FC,6,0x2D451E3BDC5FC297,0x39C86E169B57D8B5,0x6D52AE8B2B73008B,0x232F596C7BB640F4,0
12,0x4AD4469EF8023EBF,0x265E72565BA3BBED,6,0x3C55E3E2A9134760,0x18B0754477746C0E,0x3C5A993C0208D6A6,0x5E9FBF4FB934F162,0
13,0x3F499FE79D900988,0xC4302D43625EF7C,6,0x76B222292BB7EA6A,0x17759C33232585F,0x453E998083809449,0x7FA0FB7ABD1293D1,0
14,0x3FC15CA36DCC9B3,0x78384EA4BB41BC5,6,0x768ADB0A89648A89,0xD89D61477CEE38F,0x79AF8DE54E6F5A0A,0x42AD6596AF9CD4D,0
15,0x215C9CA28BA70D4,0x13800529E7C1254C,6,0x7157C967C371C77C,0xAAA9C900CDFEFAA,0x1B4587CCC6718A54,0x4B723FAEBC6CB297,0
16,0x60E1608922F5F070,0x1F25E0590020B20A,6,0x1DCE8A1F4224E648,0x4FDA6C4372B053EB,0x5819EA0165C41E4,0x4D5ECC0ADE47E69B,0
17,0x2A6A59AFB81AC5F4,0x2A8B891F3409A484,6,0x1B510C3803746A43,0x1C411A909421FC85,0x7C2104436691D80D,0x518010F809E66024,0
18,0xB9A5BBC7A301A3B,0x4352DEB3AF25683D,6,0x3C096A414D5B9096,0xC602B888CC99522,0x4124FAD6C16B36D3,0x120456CB37B4AC3B,0
